content_id,name,offset,samples,NES (Neural Engagement Score),Benchmark,Tone,Issue
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:00,140,2.446648305,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:01,134,2.264645696,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:02,132,2.534463896,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:03,138,2.053313243,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:04,132,2.201969956,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:05,140,2.580480528,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:06,136,1.786704923,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:07,133,2.204363487,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:08,130,2.168095829,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:09,137,1.904343938,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:10,132,2.448813134,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:11,135,2.02409604,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:12,139,2.304982581,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:13,137,2.084807107,1.85043274,Inspirational,
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:14,132,1.911970297,1.85043274,Inspirational,Gun Control
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:15,131,2.057384745,1.85043274,Inspirational,Gun Control
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:16,130,1.58804231,1.85043274,Inspirational,Gun Control
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:17,130,1.704345451,1.85043274,Inspirational,Gun Control
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:18,147,1.803858942,1.85043274,Inspirational,Gun Control
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:19,142,1.930244377,1.85043274,Inspirational,Gun Control
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:20,131,1.762419914,1.85043274,Inspirational,Gun Control
1aOr0VJHSHGQEethTeUNFa,George | Mike Bloomberg for President,0:21,137,1.792522833,1.85043274,Inspirational,Gun Control
